id, deeplink,thumbnail_img_src,has_motiv,motiv,motivkategorie
"3318","https://www.c-and-a.com/de/de/shop/t-shirt-2033872/1?categoryId=15437","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1532011673/2033872-1-08.jpg","1","Segeln","Sport"
"1300","https://www.otto.de/p/lego-wear-t-shirt-texas-306-ahoi-sailor-728334549/#variationId=728334649","https://i.otto.de/i/otto/27825509?$001PICT36$","1","Segeln","Sport"
"2892","https://www.otto.de/p/code-zero-poloshirt-voiles-d-antibes-french-riviera-polo-kinder-applikationen-697305958/#variationId=697305968","https://i.otto.de/i/otto/26309526?$001PICT36$","1","Segeln","Sport"
"2894","https://www.otto.de/p/code-zero-t-shirt-voiles-d-antibes-cote-d-azur-kinder-applikationen-702496703/#variationId=702496707","https://i.otto.de/i/otto/26676912?$001PICT36$","1","Segeln","Sport"
"3025","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-motiv-print-692883805/#variationId=693530246","https://i.otto.de/i/otto/26807626?$001PICT36$","1","Segeln","Sport"
"3284","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-motiv-print-692883805/#variationId=693530246","https://i.otto.de/i/otto/26829231?$001PICT36$","1","Segeln","Sport"
"3562","https://www.otto.de/p/marc-o-polo-junior-t-shirt-mit-v-ausschnitt-588946758/#variationId=588946760","https://i.otto.de/i/otto/21175764?$001PICT36$","1","Segeln","Sport"
"3600","https://www.otto.de/p/o-neill-tanktops-cali-palm-714667611/#variationId=714667617","https://i.otto.de/i/otto/27347955?$001PICT36$","1","Segeln","Sport"
"117","https://www.otto.de/p/name-it-nitmusic-viv-oberteil-mit-kurzen-aermeln-667896193/#variationId=667896194","https://i.otto.de/i/otto/23684013?$001PICT36$","1","Band","Band"
"302","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-print-vorne-693284622/#variationId=693284624","https://i.otto.de/i/otto/26789227?$001PICT36$","1","Band","Band"
"348","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-print-vorne-693284622/#variationId=693284624","https://i.otto.de/i/otto/26827744?$001PICT36$","1","Band","Band"
"1330","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-print-vorne-693284622/#variationId=693284624","https://i.otto.de/i/otto/26810675?$001PICT36$","1","Band","Band"
"4026","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-band-print-vorne-und-hinten-693411004/#variationId=693411005","https://i.otto.de/i/otto/26829737?$001PICT36$","1","Band","Band"
"4027","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-band-print-vorne-und-hinten-693411004/#variationId=693411005","https://i.otto.de/i/otto/26785498?$001PICT36$","1","Band","Band"
"4024","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-band-print-vorne-und-hinten-693411004/#variationId=693411005","https://i.otto.de/i/otto/26783815?$001PICT36$","1","Band","Band"
"4262","https://www.otto.de/p/name-it-print-t-shirt-731006839/#variationId=731006842","https://i.otto.de/i/otto/28273416?$001PICT36$","1","Band","Band"
"4025","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-band-print-vorne-und-hinten-693411004/#variationId=693411005","https://i.otto.de/i/otto/26808992?$001PICT36$","1","Band","Band"
"4509","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-foto-print-693288518/#variationId=693288541","https://i.otto.de/i/otto/26806263?$001PICT36$","1","Band","Band"
"4611","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-foto-print-693288518/#variationId=693288541","https://i.otto.de/i/otto/26789426?$001PICT36$","1","Band","Band"
"1278","https://www.otto.de/p/lego-wear-t-shirt-tyler-303-druck-auf-vorder-und-hinterseite-von-tiger-affe-und-panter-687023965/#variationId=687023967","https://i.otto.de/i/otto/25380346?$001PICT36$","1","Tiere","Tier"
"2001","https://www.otto.de/p/nop-t-shirt-ladue-689425645/#variationId=689425653","https://i.otto.de/i/otto/25627544?$001PICT36$","1","Tiere","Tier"
"2265","https://www.hm.com/de/product/93728?article=93728-M","http://lp.hm.com/hmprod?set=source%5B%2Fmodel%2F2017%2FG00%200575533%20003%2066%203542.jpg%5D%2Cmedia_type%5BSTILL_LIFE_FRONT%5D%2Ctshirt_size%5BM%5D%2Cquality%5BH%5D%2Chmver%5B1%5D&call=url%5Bfile%3A%2Flegacy%2Fv1%2Fproduct.chain%5D","1","Tiere","Tier"
"3824","https://www.hm.com/de/product/93620?article=93620-L","http://lp.hm.com/hmprod?set=source%5B%2Fmodel%2F2017%2FG00%200553875%20005%2066%203188.jpg%5D%2Cmedia_type%5BSTILL_LIFE_FRONT%5D%2Ctshirt_size%5BM%5D%2Cquality%5BH%5D%2Chmver%5B1%5D&call=url%5Bfile%3A%2Flegacy%2Fv1%2Fproduct.chain%5D","1","Tiere","Tier"
"1086","https://www.c-and-a.com/de/de/shop/kurzarmshirt-bio-baumwolle-glanz-effekt-2012348/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530199880/2012348-1-08.jpg","1","Tiere","Tier"
"1935","https://www.c-and-a.com/de/de/shop/langarmshirt-bio-baumwolle-2012454/1?categoryId=15227","https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1530715305/2012454-1-08.jpg","1","Tiere","Tier"
"2253","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-ganzflaechigem-print-711894573/#variationId=711894578","https://i.otto.de/i/otto/27280764?$001PICT36$","1","Tiere","Tier"
"3348","https://www.otto.de/p/name-it-print-t-shirt-699840071/#variationId=699840323","https://i.otto.de/i/otto/26534567?$001PICT36$","1","Tiere","Tier"
"3635","https://www.otto.de/p/name-it-print-t-shirt-694015395/#variationId=694015400","https://i.otto.de/i/otto/26064506?$001PICT36$","1","Tiere","Tier"
"4130","https://www.otto.de/p/kidsworld-t-shirt-mit-waschbaer-druck-576624526/#variationId=576624467","https://i.otto.de/i/otto/18211118?$001PICT36$","1","Tiere","Tier"
"4131","https://www.otto.de/p/logoshirt-t-shirt-mit-coolem-frontdruck-optimus-prime-transformers-679586969/#variationId=679586973","https://i.otto.de/i/otto/18560564?$001PICT36$","1","Tiere","Tier"
"4228","https://www.otto.de/p/arizona-kapuzenshirt-waschbaer-druck-646385403/#variationId=634358730","https://i.otto.de/i/otto/24027449?$001PICT36$","1","Tiere","Tier"
"4489","https://www.otto.de/p/tom-tailor-langarmshirt-shirt-mit-underlayer-und-foto-print-693530453/#variationId=693530463","https://i.otto.de/i/otto/26808331?$001PICT36$","1","Tiere","Tier"
"4487","https://www.otto.de/p/arizona-kapuzenshirt-fuchs-druck-646385397/#variationId=634359257","https://i.otto.de/i/otto/26723544?$001PICT36$","1","Tiere","Tier"
"300","https://www.otto.de/p/tom-tailor-t-shirt-t-shirt-mit-print-693335765/#variationId=693335766","https://i.otto.de/i/otto/26777638?$001PICT36$","1","Frau","Mensch"
