id,deeplink_href,thumbnail_img_src,title,has_motiv,has_glitzer,geschlecht,shop,colors_palette_id,is_primary,R,G,B,H,S,V,HEX,name_de,name_en,parent_name_de_2, R_palette, G_palette, B_palette, H_palette, S_palette, V_palette, weight_parent_color
1601,https://www.c-and-a.com/de/de/shop/langarmshirt-1031762/0?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1502463146/1031762-0-01.jpg",Here and There,0,0,m,c_und_a,41,1,65,63,64,330,3,25,#696969,Dunkelgrau,dimgrey,grau,105,105,105,0,0,41,1
1602,https://www.c-and-a.com/de/de/shop/avengers-kurzarmshirt-2015478/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1521823577/2015478-1-01.jpg",Here and There,1,0,m,c_und_a,57,0,255,49,98,346,81,100,#cd5c5c,Indischrot,indianred,rot,205,92,92,0,55,80,0.5
1602,https://www.c-and-a.com/de/de/shop/avengers-kurzarmshirt-2015478/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1521823577/2015478-1-01.jpg",Here and There,1,0,m,c_und_a,8,1,47,44,44,0,6,18,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1602,https://www.c-and-a.com/de/de/shop/avengers-kurzarmshirt-2015478/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1521823577/2015478-1-01.jpg",Here and There,1,0,m,c_und_a,139,1,244,242,242,0,1,96,#f5f5f5,rauchfarben,whitesmoke,grau,245,245,245,0,0,96,0.25
1603,https://www.c-and-a.com/de/de/shop/t-shirt-2025601/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524585046/2025601-1-01.jpg",Here and There,1,0,f,c_und_a,124,0,188,200,191,135,6,78,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.25
1603,https://www.c-and-a.com/de/de/shop/t-shirt-2025601/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524585046/2025601-1-01.jpg",Here and There,1,0,f,c_und_a,66,0,241,119,134,353,51,95,#f08080,helles Korallenrot,lightcoral,rosa,240,128,128,0,47,94,0.25
1603,https://www.c-and-a.com/de/de/shop/t-shirt-2025601/1?categoryId=15227,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524585046/2025601-1-01.jpg",Here and There,1,0,f,c_und_a,48,1,234,234,244,240,4,96,#f8f8ff,Geisterweiss,ghostwhite,weiss,248,248,255,240,3,100,0.5
1604,https://www.c-and-a.com/de/de/shop/batman-kurzarmshirt-bio-baumwolle-2005740/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502293/2005740-1-08.jpg",undefined,1,0,m,c_und_a,27,0,211,194,62,53,71,83,#bdb76b,Dunkelkhaki,darkkhaki,gruen,189,183,107,56,43,74,0.25
1604,https://www.c-and-a.com/de/de/shop/batman-kurzarmshirt-bio-baumwolle-2005740/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502293/2005740-1-08.jpg",undefined,1,0,m,c_und_a,8,0,25,23,24,330,8,10,#000000,Schwarz,black,schwarz,0,0,0,0,0,0,0.25
1604,https://www.c-and-a.com/de/de/shop/batman-kurzarmshirt-bio-baumwolle-2005740/1?categoryId=15437,"https://www.c-and-a.com/productimages/c_scale,h_180,q_auto:best,e_sharpen:70/v1524502293/2005740-1-08.jpg",undefined,1,0,m,c_und_a,124,1,198,199,203,228,2,80,#c0c0c0,Silber,silver,grau,192,192,192,0,0,75,0.5
